,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,MP,Anuppur,Jaithari,23.04541666833333,81.771944445,1996,POMRB,6.29,,,6.29,10.747562346957988,6.3,0.0
1,MP,Anuppur,Jaithari,23.04541666833333,81.771944445,1996,PREMON,9.056666666666667,,,7.396666666666666,13.286009097546444,9.076112650046168,2.1911552813188786
2,MP,Anuppur,Jaithari,23.04541666833333,81.771944445,1996,MONSOON,3.251666666666667,5.7960416666666665,,5.738666666666667,10.38958666931688,3.2800076094157253,3.432419045405485
3,MP,Anuppur,Jaithari,23.04541666833333,81.771944445,1996,POMKH,4.476666666666667,5.706666666666668,5.768750000000002,5.233866666666667,8.14430951667666,4.5133559062623725,2.7055785005503594
0,MP,Anuppur,Jaithari,23.045416668333335,81.771944445,1997,POMRB,6.29,5.709583333333334,5.823333333333334,5.7436533333333335,7.412385201609485,6.332391256997249,6.110312766737907
1,MP,Anuppur,Jaithari,23.045416668333335,81.771944445,1997,PREMON,9.056666666666667,5.794999999999999,5.5900000000000025,6.695525333333332,7.797531255638701,9.116555072207282,8.844905907041793
2,MP,Anuppur,Jaithari,23.045416668333335,81.771944445,1997,MONSOON,3.251666666666667,5.48,5.829166666666668,5.700648533333332,5.8375345291405045,3.2648819814068584,2.9409060001083183
3,MP,Anuppur,Jaithari,23.045416668333335,81.771944445,1997,POMKH,4.476666666666667,5.138958333333333,5.760833333333334,5.101722453333333,4.544523559513888,4.547867578775064,4.643962716429275
0,MP,Anuppur,Jaithari,23.04541666833333,81.77194444500002,1998,POMRB,6.29,5.088125,5.1991666666666685,4.765700138666666,3.862457933459309,6.394860165919051,6.242260723334844
1,MP,Anuppur,Jaithari,23.04541666833333,81.77194444500002,1998,PREMON,9.056666666666667,5.274375,5.078750000000001,5.9160867498666665,5.585603156248783,8.804349399345746,7.7604202944870995
2,MP,Anuppur,Jaithari,23.04541666833333,81.77194444500002,1998,MONSOON,3.251666666666667,5.722291666666666,5.097500000000001,5.2629853832533335,4.945862420601999,3.3440071586646787,3.453040022051153
