,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1996,POMRB,5.383333333333333,,,5.383333333333333,7.469542860306777,5.129216778565125,0.0
1,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1996,PREMON,6.533333333333332,,,5.843333333333333,8.584182653739543,7.3718286080913025,1.6121474312840171e-06
2,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1996,MONSOON,3.0500000000000003,5.1949999999999985,,4.726,8.09266849586181,1.582975206573051,2.1517244824830787e-06
3,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1996,POMKH,4.883333333333334,5.635833333333332,4.9625,4.7889333333333335,8.003235110575618,3.551664534634656,4.5454254714212103e-07
0,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1997,POMRB,5.383333333333333,5.6691666666666665,5.427499999999998,5.770693333333332,8.559571560520064,5.183572084294197,5.383330600301671
1,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1997,PREMON,6.533333333333332,5.383749999999999,5.844166666666666,6.742416,9.258377703524983,7.4261839212671665,6.93997203744324
2,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1997,MONSOON,3.0500000000000003,4.855416666666666,5.494166666666667,4.7054496,7.4846468574245,1.6373305263983924,3.380874041924636
3,MS,Gondiya,Gondiya,21.52685185,80.23240740666667,1997,POMKH,4.883333333333334,4.28125,5.2733333333333325,4.42326976,6.556008188343742,3.6060198484619748,4.387159605399266
0,MS,Gondiya,Gondiya,21.54861111,80.256944445,1998,POMRB,5.383333333333333,4.0687500000000005,4.437499999999999,4.213961856,5.682656623250535,5.237927394254328,6.245656057226318
1,MS,Gondiya,Gondiya,21.54861111,80.256944445,1998,PREMON,6.533333333333332,3.953125,4.124999999999999,5.308377113600001,5.927178659361571,7.480539217214612,6.862559266581563
2,MS,Gondiya,Gondiya,21.54861111,80.256944445,1998,MONSOON,3.0500000000000003,4.016666666666667,4.012499999999998,3.6650262681599997,4.35907873709151,1.6916858169664395,2.201262168005562
3,MS,Gondiya,Gondiya,21.54861111,80.256944445,1998,POMKH,4.883333333333334,4.173958333333333,3.893749999999999,3.609015760896,3.8020422921563686,3.660375136949975,4.1514811555207904
0,MS,Gondiya,Gondiya,21.5076388875,80.236805555,1999,POMRB,5.383333333333333,4.433333333333334,4.1395833333333325,4.118742789870933,3.827294552522016,5.2922826805591585,5.212608245716812
1,MS,Gondiya,Gondiya,21.5076388875,80.236805555,1999,PREMON,6.533333333333332,4.592708333333333,4.208333333333333,5.36124567392256,4.693699436249094,7.53489450735072,7.117302997767254
2,MS,Gondiya,Gondiya,21.5076388875,80.236805555,1999,MONSOON,3.0500000000000003,4.63125,4.658333333333333,4.416747404353536,4.1175105575754865,1.7460411080125258,1.8684920540175816
3,MS,Gondiya,Gondiya,21.5076388875,80.236805555,1999,POMKH,4.883333333333334,4.789947916666667,4.527083333333334,3.8500484426121218,3.636335566837094,3.7147304351954142,4.3113260305872485
0,MS,Gondiya,Gondiya,21.515740740000002,80.25462963,2000,POMRB,5.383333333333333,4.565312499999999,4.735416666666667,4.596695732233941,4.13670985682385,5.346637976415232,4.989786791661804
1,MS,Gondiya,Gondiya,21.515740740000002,80.25462963,2000,PREMON,6.533333333333332,4.4965625,4.844479166666666,5.8225174393403645,5.302677300739426,7.5892498064194385,7.340336283171906
2,MS,Gondiya,Gondiya,21.515740740000002,80.25462963,2000,MONSOON,3.0500000000000003,4.771145833333334,4.2861458333333315,3.800177130270885,4.0475923804627945,1.8003964086562585,2.3520554831618687
3,MS,Gondiya,Gondiya,21.515740740000002,80.25462963,2000,POMKH,4.883333333333334,4.9145312500000005,4.706979166666666,4.153439611495863,4.197073379621132,3.769085726404296,3.3618518160251982
0,MS,Gondiya,Gondiya,21.54861111,80.256944445,2001,POMRB,5.383333333333333,5.091666666666667,4.8353125,4.984063766897519,4.87010686054438,5.400993274342317,5.59452255600353
1,MS,Gondiya,Gondiya,21.54861111,80.256944445,2001,PREMON,6.533333333333332,5.144166666666667,4.99375,6.308438260138511,6.229044001693963,7.643605106239429,7.556973445918947
2,MS,Gondiya,Gondiya,21.54861111,80.256944445,2001,MONSOON,3.0500000000000003,5.090625,5.189583333333333,4.405062956083106,5.113420848874917,1.8547517108657663,1.9897261151514871
3,MS,Gondiya,Gondiya,21.54861111,80.256944445,2001,POMKH,4.883333333333334,5.067500000000001,5.09875,4.3710377736498645,4.964252340975073,3.823441031620254,3.9545854543530186
0,MS,Gondiya,Gondiya,21.54861111,80.256944445,2002,POMRB,5.383333333333333,4.988125,5.0825,5.088622664189918,5.433953915335491,5.455348577835652,5.70773485399066
1,MS,Gondiya,Gondiya,21.54861111,80.256944445,2002,PREMON,6.533333333333332,4.911875,5.0525,6.323173598513953,6.555751652918242,7.697960409240519,7.768458056997058
2,MS,Gondiya,Gondiya,21.54861111,80.256944445,2002,MONSOON,3.0500000000000003,4.623125,4.92375,4.207904159108371,5.117966123198162,1.9091070131477783,1.8280679039124328
3,MS,Gondiya,Gondiya,21.54861111,80.256944445,2002,POMKH,4.883333333333334,4.3775,4.9,4.214742495465023,4.838196138588712,3.8777963315541486,3.9507309421742103
0,MS,Gondiya,Gondiya,21.54861111,80.256944445,2003,POMRB,5.383333333333333,4.575,4.34625,4.108845497279013,4.504234450017604,5.50970387715358,5.824048148059739
1,MS,Gondiya,Gondiya,21.54861111,80.256944445,2003,PREMON,6.533333333333332,4.67875,4.40875,5.8353072983674075,5.74196588078525,7.75231569919922,7.3954290614546
2,MS,Gondiya,Gondiya,21.54861111,80.256944445,2003,MONSOON,3.0500000000000003,4.880625,4.74125,4.447184379020445,4.82882185376103,1.9634623039133423,1.6456739495681398
3,MS,Gondiya,Gondiya,21.54861111,80.256944445,2003,POMKH,4.883333333333334,4.978541666666667,4.616250000000001,4.158310627412267,4.443980143802675,3.932151627580709,4.331694127203533
0,MS,Gondiya,Gondiya,21.51574074,80.25462963,2004,POMRB,5.383333333333333,4.687083333333334,5.145000000000001,4.9209863764473605,4.889771134371156,5.564059170893866,5.1535351227204504
