,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1996,POMRB,6.33,,,6.33,5.202945297771996,6.671192715447287,0.0
1,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1996,PREMON,9.62,,,7.646,5.581205782829404,8.07820197266186,3.49379977853835
2,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1996,MONSOON,2.08,6.11875,,5.4196,3.9305290959868566,4.2521245279047815,5.475328419584191
3,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1996,POMKH,6.385,6.144374999999998,6.10375,5.80576,4.006735426990125,4.9220134197096925,3.06572342200453
0,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1997,POMRB,6.33,6.130624999999998,6.133749999999999,6.0634559999999995,4.238807103940421,6.821050614033452,6.1293728184239455
1,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1997,PREMON,9.62,5.961875000000001,6.1549999999999985,7.520073599999999,5.61888580309878,8.218955620922003,9.076702210992453
2,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1997,MONSOON,2.08,5.7562500000000005,6.106249999999998,5.26604416,4.407137578675759,4.375877811078136,2.393300656043185
3,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1997,POMKH,6.385,5.27125,5.817499999999999,5.251626496,4.436784680107584,4.948572665991383,5.869187395660176
0,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1998,POMRB,6.33,4.945,5.6949999999999985,5.5349758976,4.747745014078614,6.487329608539239,5.806243508411162
1,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1998,PREMON,9.62,4.9825,4.8475,5.846985538559999,5.177481163804356,7.837582129450332,9.126726422757015
2,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1998,MONSOON,2.08,5.2856250000000005,5.0425,4.5741913231360005,4.394772888775922,3.0771159454057417,0.5381475752333968
3,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1998,POMKH,6.385,5.758125,4.9224999999999985,4.6445147938816005,4.382509455651041,4.2836654721754295,5.897986249253205
0,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1999,POMRB,6.33,5.876666666666668,5.64875,6.33270887632896,5.793155322383707,5.878804192035602,5.645020846876253
1,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1999,PREMON,9.62,5.712083333333332,5.8675,6.675625325797375,6.533236724308312,8.300398522880283,9.423424622948037
2,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1999,MONSOON,2.08,5.214583333333334,5.885833333333332,5.100708528811759,5.655098709979542,3.665615087319628,1.7320932924659869
3,UP,Sonbhadra,Chopan,24.49291667,83.05208333499999,1999,POMKH,6.385,4.925208333333334,5.538333333333332,4.4044251172870545,5.015867020890468,4.715080601799966,5.425284037708557
